iter	Passed	Remaining
651	6213	3316
652	6218	3304
653	6226	3294
654	6233	3283
655	6238	3271
656	6243	3259
657	6254	3250
658	6260	3239
659	6267	3228
660	6277	3219
661	6283	3208
662	6288	3196
663	6301	3188
664	6313	3180
665	6326	3172
666	6334	3162
667	6349	3155
668	6359	3146
669	6367	3136
670	6379	3127
671	6388	3118
672	6397	3108
673	6403	3097
674	6407	3085
675	6412	3073
676	6426	3066
677	6432	3054
678	6437	3043
679	6448	3034
680	6453	3022
681	6457	3011
682	6468	3002
683	6474	2991
684	6481	2980
685	6488	2970
686	6498	2960
687	6503	2949
688	6508	2937
689	6516	2927
690	6522	2916
691	6527	2905
692	6532	2893
693	6543	2885
694	6549	2874
695	6555	2863
696	6564	2853
697	6573	2844
698	6578	2832
699	6586	2822
700	6592	2811
701	6597	2800
702	6603	2789
703	6610	2779
704	6615	2768
705	6620	2757
706	6625	2745
707	6636	2736
708	6640	2725
709	6649	2716
710	6660	2707
711	6669	2697
712	6686	2691
713	6693	2680
714	6700	2670
715	6712	2662
716	6721	2653
717	6738	2646
718	6747	2636
719	6758	2628
720	6770	2619
721	6782	2611
722	6796	2603
723	6810	2596
724	6818	2586
725	6828	2577
726	6835	2566
727	6843	2556
728	6853	2547
729	6861	2537
730	6867	2527
731	6880	2519
732	6886	2508
733	6893	2498
734	6901	2488
735	6909	2478
736	6914	2467
737	6923	2457
738	6929	2447
739	6935	2436
740	6940	2425
741	6947	2415
742	6953	2405
743	6958	2394
744	6963	2383
745	6975	2375
746	6982	2365
747	6988	2354
748	6997	2345
749	7003	2334
750	7007	2323
751	7014	2313
752	7023	2303
753	7028	2293
754	7033	2282
755	7038	2271
756	7047	2262
757	7052	2251
758	7058	2241
759	7064	2230
760	7076	2222
761	7082	2211
762	7090	2202
763	7096	2192
764	7101	2181
765	7106	2170
766	7116	2161
767	7120	2151
768	7126	2140
769	7130	2129
770	7142	2121
771	7148	2111
772	7153	2100
773	7166	2092
774	7172	2082
775	7180	2072
776	7188	2063
777	7193	2052
778	7198	2042
779	7203	2031
780	7216	2023
781	7223	2013
782	7228	2003
783	7235	1993
784	7241	1983
785	7246	1972
786	7251	1962
787	7263	1954
788	7269	1943
789	7274	1933
790	7284	1924
791	7289	1914
792	7294	1904
793	7305	1895
794	7311	1885
795	7316	1875
796	7321	1864
797	7330	1855
798	7335	1845
799	7340	1835
800	7348	1825
801	7361	1817
802	7368	1807
803	7378	1798
804	7385	1788
805	7390	1778
806	7394	1768
807	7405	1759
808	7411	1749
809	7416	1739
810	7429	1731
811	7435	1721
812	7440	1711
813	7449	1702
814	7458	1693
815	7466	1683
816	7473	1674
817	7479	1664
818	7486	1654
819	7491	1644
820	7501	1635
821	7505	1625
822	7511	1615
823	7516	1605
824	7524	1596
825	7529	1586
826	7534	1576
827	7539	1566
828	7554	1558
829	7563	1549
830	7572	1540
831	7579	1530
832	7584	1520
833	7595	1511
834	7600	1501
835	7606	1492
836	7611	1482
837	7620	1473
838	7628	1463
839	7639	1455
840	7649	1446
841	7655	1436
842	7668	1428
843	7673	1418
844	7677	1408
845	7683	1398
846	7695	1390
847	7701	1380
848	7706	1370
849	7716	1361
850	7721	1351
851	7728	1342
852	7733	1332
853	7743	1323
854	7748	1314
855	7753	1304
856	7761	1295
857	7768	1285
858	7774	1276
859	7781	1266
860	7790	1257
861	7795	1247
862	7801	1238
863	7809	1229
864	7815	1219
865	7820	1210
866	7825	1200
867	7837	1191
868	7841	1182
869	7850	1173
870	7861	1164
871	7868	1154
872	7873	1145
873	7883	1136
874	7888	1126
875	7893	1117
876	7898	1107
877	7907	1098
878	7912	1089
879	7917	1079
880	7927	1070
881	7934	1061
882	7939	1052
883	7944	1042
884	7954	1033
885	7960	1024
886	7969	1015
887	7977	1006
888	7983	996
889	7989	987
890	7993	977
891	8003	969
892	8008	959
893	8015	950
894	8025	941
895	8030	932
896	8036	922
897	8044	913
898	8050	904
899	8059	895
900	8064	886
901	8075	877
902	8079	867
903	8085	858
904	8094	849
905	8099	840
906	8106	831
907	8110	821
908	8121	813
909	8126	803
910	8133	794
911	8140	785
912	8147	776
913	8154	767
914	8159	757
915	8170	749
916	8175	739
917	8182	730
918	8190	721
919	8196	712
920	8201	703
921	8208	694
922	8217	685
923	8222	676
924	8228	667
925	8233	657
926	8246	649
927	8256	640
928	8265	631
929	8272	622
930	8277	613
931	8288	604
932	8296	595
933	8303	586
934	8316	578
935	8326	569
936	8339	560
937	8349	551
938	8354	542
939	8366	534
940	8372	524
941	8379	515
942	8385	506
943	8390	497
944	8396	488
945	8404	479
946	8413	470
947	8420	461
948	8425	452
949	8436	444
950	8443	435
951	8448	425
952	8459	417
953	8464	408
954	8471	399
955	8478	390
956	8484	381
957	8489	372
958	8494	363
959	8508	354
960	8513	345
961	8518	336
962	8527	327
963	8533	318
964	8538	309
965	8543	300
966	8554	291
967	8563	283
968	8568	274
969	8578	265
970	8583	256
971	8588	247
972	8594	238
973	8603	229
974	8609	220
975	8613	211
976	8622	202
977	8627	194
978	8634	185
979	8642	176
980	8651	167
981	8657	158
982	8663	149
983	8670	140
984	8676	132
985	8682	123
986	8686	114
987	8695	105
988	8700	96
989	8707	87
990	8712	79
991	8719	70
992	8724	61
993	8729	52
994	8734	43
995	8746	35
996	8752	26
997	8757	17
998	8767	8
999	8772	0
