iter	Passed	Remaining
547	2755	2273
548	2759	2266
549	2763	2260
550	2767	2255
551	2772	2250
552	2776	2244
553	2781	2239
554	2786	2234
555	2791	2228
556	2795	2223
557	2800	2217
558	2804	2212
559	2809	2207
560	2813	2201
561	2818	2196
562	2822	2190
563	2826	2185
564	2831	2180
565	2838	2176
566	2842	2170
567	2847	2165
568	2852	2160
569	2857	2155
570	2862	2150
571	2866	2144
572	2871	2140
573	2877	2135
574	2881	2129
575	2885	2123
576	2889	2118
577	2894	2113
578	2898	2107
579	2903	2102
580	2924	2108
581	2928	2103
582	2932	2097
583	2937	2092
584	2942	2087
585	2946	2081
586	2951	2076
587	2960	2074
588	2965	2069
589	2970	2064
590	2975	2059
591	2980	2054
592	2985	2048
593	2989	2043
594	2992	2037
595	2996	2031
596	2999	2024
597	3002	2018
598	3006	2012
599	3011	2007
600	3015	2002
601	3019	1996
602	3022	1990
603	3026	1984
604	3029	1977
605	3032	1971
606	3035	1965
607	3038	1959
608	3042	1953
609	3045	1947
610	3048	1941
611	3051	1934
612	3054	1928
613	3058	1922
614	3061	1916
615	3064	1910
616	3067	1904
617	3070	1898
618	3073	1892
619	3077	1886
620	3080	1880
621	3083	1874
622	3096	1873
623	3099	1867
624	3103	1862
625	3106	1856
626	3109	1850
627	3113	1844
628	3117	1838
629	3120	1832
630	3123	1826
631	3126	1820
632	3130	1814
633	3133	1808
634	3136	1803
635	3140	1797
636	3143	1791
637	3147	1786
638	3150	1779
639	3152	1773
640	3155	1767
641	3157	1760
642	3160	1754
643	3162	1748
644	3164	1741
645	3167	1735
646	3169	1729
647	3172	1723
648	3177	1718
649	3180	1712
650	3182	1706
651	3186	1700
652	3188	1694
653	3191	1688
654	3193	1682
655	3196	1675
656	3198	1669
657	3200	1663
658	3203	1657
659	3206	1651
660	3208	1645
661	3211	1639
662	3213	1633
663	3215	1627
664	3219	1621
665	3223	1616
666	3226	1610
667	3230	1605
668	3234	1600
669	3238	1594
670	3241	1589
671	3244	1583
672	3248	1578
673	3252	1573
674	3256	1567
675	3259	1562
676	3268	1559
677	3271	1553
678	3275	1548
679	3279	1543
680	3283	1537
681	3286	1532
682	3289	1526
683	3293	1521
684	3331	1532
685	3336	1527
686	3341	1522
687	3363	1525
688	3367	1519
689	3370	1514
690	3375	1509
691	3389	1508
692	3393	1503
693	3411	1504
694	3415	1498
695	3426	1496
696	3453	1501
697	3486	1508
698	3517	1514
699	3522	1509
700	3560	1518
701	3565	1513
702	3570	1508
703	3575	1503
704	3579	1497
705	3583	1492
706	3587	1486
707	3594	1482
708	3599	1477
709	3643	1488
710	3647	1482
711	3652	1477
712	3656	1471
713	3660	1466
714	3664	1460
715	3670	1455
716	3679	1452
717	3684	1447
718	3688	1441
719	3693	1436
720	3697	1430
721	3701	1425
722	3705	1419
723	3722	1419
724	3726	1413
725	3731	1408
726	3735	1402
727	3740	1397
728	3744	1392
729	3756	1389
730	3763	1384
731	3767	1379
732	3771	1373
733	3778	1369
734	3782	1363
735	3787	1358
736	3794	1354
737	3799	1348
738	3803	1343
739	3808	1338
740	3813	1332
741	3837	1334
742	3841	1328
743	3846	1323
744	3852	1318
745	3857	1313
746	3861	1307
747	3866	1302
748	3870	1297
749	3892	1297
750	3899	1292
751	3905	1287
752	3909	1282
753	3914	1277
754	3919	1271
755	3930	1268
756	3956	1270
757	3961	1264
758	3966	1259
759	3970	1253
760	3975	1248
761	3979	1242
762	3983	1237
763	4004	1236
764	4008	1231
765	4012	1225
766	4016	1220
767	4021	1214
768	4025	1209
769	4030	1204
770	4054	1204
771	4058	1198
772	4074	1196
773	4079	1191
774	4083	1185
775	4088	1180
776	4092	1174
777	4099	1169
778	4135	1173
779	4139	1167
780	4144	1162
781	4149	1156
782	4160	1152
783	4164	1147
784	4168	1141
785	4179	1137
786	4184	1132
787	4191	1127
788	4212	1126
789	4217	1121
790	4231	1118
791	4237	1112
792	4241	1107
793	4245	1101
794	4251	1096
795	4292	1099
796	4296	1094
797	4306	1090
798	4310	1084
799	4315	1078
800	4319	1073
801	4324	1067
802	4349	1067
803	4353	1061
804	4361	1056
805	4367	1051
806	4372	1045
807	4376	1039
808	4380	1034
809	4398	1031
810	4404	1026
811	4425	1024
812	4429	1018
813	4435	1013
814	4439	1007
815	4443	1002
816	4472	1001
817	4477	996
818	4483	990
819	4487	985
820	4492	979
821	4496	973
822	4500	967
823	4505	962
824	4516	958
825	4530	954
826	4534	948
827	4540	943
828	4545	937
829	4550	932
830	4557	926
831	4589	926
832	4595	921
833	4601	915
834	4612	911
835	4618	905
836	4622	900
837	4627	894
838	4632	888
839	4637	883
840	4641	877
841	4647	872
842	4652	866
843	4657	860
844	4662	855
845	4666	849
846	4671	843
847	4681	839
848	4686	833
849	4691	827
850	4696	822
851	4700	816
852	4706	811
853	4711	805
854	4718	800
855	4725	794
856	4732	789
857	4743	784
858	4749	779
859	4754	774
860	4767	769
861	4774	764
862	4779	758
863	4799	755
864	4803	749
865	4809	744
866	4816	738
867	4824	733
868	4833	728
869	4840	723
870	4871	721
871	4883	716
872	4889	711
873	4895	705
874	4909	701
875	4915	695
876	4919	689
877	4924	684
878	4930	678
879	4935	672
880	4938	667
881	4941	661
882	4945	655
883	4948	649
884	4951	643
885	4956	637
886	4961	632
887	4965	626
888	4968	620
889	4972	614
890	4976	608
891	4983	603
892	4987	597
893	4990	591
894	4993	585
895	4996	579
896	5001	574
897	5004	568
898	5008	562
899	5011	556
900	5019	551
901	5024	545
902	5027	540
903	5032	534
904	5036	528
905	5041	523
906	5046	517
907	5053	512
908	5059	506
909	5062	500
910	5065	494
911	5068	489
912	5071	483
913	5075	477
914	5078	471
915	5081	465
916	5084	460
917	5089	454
918	5092	448
919	5096	443
920	5102	437
921	5105	431
922	5108	426
923	5111	420
924	5118	415
925	5122	409
926	5124	403
927	5128	397
928	5132	392
929	5135	386
930	5138	380
931	5140	375
932	5144	369
933	5148	363
934	5151	358
935	5154	352
936	5156	346
937	5159	341
938	5163	335
939	5166	329
940	5168	324
941	5171	318
942	5173	312
943	5176	307
944	5178	301
945	5180	295
946	5183	290
947	5185	284
948	5188	278
949	5192	273
950	5194	267
951	5197	262
952	5199	256
953	5201	250
954	5204	245
955	5207	239
956	5210	234
957	5213	228
958	5215	222
959	5217	217
960	5220	211
961	5223	206
962	5226	200
963	5228	195
964	5231	189
965	5233	184
966	5237	178
967	5240	173
968	5242	167
969	5244	162
970	5247	156
971	5249	151
972	5252	145
973	5254	140
974	5256	134
975	5259	129
976	5262	123
977	5265	118
978	5267	113
979	5270	107
980	5272	102
981	5275	96
982	5279	91
983	5282	85
984	5286	80
985	5289	75
986	5291	69
987	5294	64
988	5297	58
989	5299	53
990	5302	48
991	5304	42
992	5306	37
993	5310	32
994	5312	26
995	5314	21
996	5317	15
997	5319	10
998	5322	5
999	5324	0
